Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,3098139.07000,3017273.55000,2961023.63000,2966021.48000,3152997.92000,3624408.05000,4121782.02000,4484939.04000,4879031.46000,5036250.66000,5190969.03000,5317802.83000,5199861.34000,4940651.21000,4854853.61000,4824830.15000,4850581.60000,5060198.60000,6361564.94000,6535597.63000,6110265.79000,5384194.22000,4426091.02000,3674033.55000,2000-01-11
Sistema,Sistema,3360621.02000,3198257.40000,3164822.24000,3190301.25000,3417572.48000,3889272.07000,4414650.92000,4761786.70000,5050058.44000,5188849.17000,5319516.40000,5458338.28000,5212974.79000,4935857.71000,4866283.89000,4857541.79000,4933685.38000,5093550.97000,6383988.48000,6639039.73000,6142571.01000,5445413.59000,4473310.97000,3672274.62000,2000-01-12
Sistema,Sistema,3314713.07000,3206657.54000,3158881.27000,3191243.02000,3439501.13000,3941216.54000,4435372.36000,4750143.16000,5068824.76000,5218534.25000,5397489.96000,5520384.85000,5258509.07000,4947809.47000,4881949.88000,4836580.14000,4815819.75000,4962173.48000,6281598.59000,6678083.13000,6156900.45000,5506972.72000,4543776.85000,3769367.11000,2000-01-13
Sistema,Sistema,3377021.71000,3265845.01000,3218987.77000,3232915.35000,3455762.02000,3907850.92000,4431333.61000,4722665.59000,5103574.83000,5204198.31000,5408789.91000,5521187.70000,5268343.97000,4981484.05000,4910281.42000,4848035.16000,4955365.22000,5076689.54000,6362549.91000,6597854.97000,6111700.61000,5479377.57000,4567253.38000,3879991.36000,2000-01-14
Sistema,Sistema,3482404.53000,3307983.68000,3225653.99000,3256162.80000,3374607.47000,3625094.15000,4013934.75000,4409621.93000,4781471.59000,4956063.96000,5054018.04000,5151615.30000,5033627.17000,4695581.99000,4402924.28000,4237857.55000,4355255.48000,4651852.22000,5949403.59000,6255405.59000,5848139.57000,5200831.21000,4411890.35000,3763281.11000,2000-01-15
Sistema,Sistema,3344384.87000,3168740.85000,3062448.54000,3009744.75000,3047192.47000,3161951.44000,3290833.18000,3572803.99000,3942511.55000,4128535.04000,4161534.19000,4195821.37000,4175711.75000,3974216.15000,3719990.23000,3600870.66000,3603018.56000,3850381.14000,5271111.24000,5758925.34000,5486873.84000,4918816.58000,4074510.03000,3426632.78000,2000-01-16
Sistema,Sistema,3044215.93000,2925651.85000,2569627.85000,2589651.79000,2856337.55000,3429918.21000,4157974.47000,4290711.62000,4337289.53000,4473154.08000,4742829.62000,4972600.70000,4962464.26000,4799456.59000,4691886.84000,4738480.39000,4850697.11000,5035324.80000,6088037.74000,6380072.09000,6029231.39000,5432902.84000,4566308.05000,3756557.72000,2000-01-17
Sistema,Sistema,3387159.20000,3289869.37000,3227697.46000,3263956.98000,3479606.65000,4016512.70000,4559952.28000,4678196.09000,4842552.36000,4872646.11000,5039726.83000,5148490.27000,4916285.28000,4677174.64000,4666392.67000,4727196.03000,4812465.07000,4995104.47000,6101135.68000,6374818.46000,5987914.36000,5457017.33000,4571511.89000,3788644.54000,2000-01-18
Sistema,Sistema,3387587.46000,3261888.74000,3219232.73000,3255817.67000,3527686.32000,4106339.16000,4591615.10000,4718347.50000,4928625.64000,4975432.87000,5093430.09000,5158154.97000,4937402.72000,4772641.77000,4776944.02000,4778301.23000,4828549.84000,5006386.56000,6153672.89000,6551758.08000,6187850.71000,5590980.17000,4594409.74000,3770806.79000,2000-01-19
Sistema,Sistema,3458979.94000,3311628.65000,3303353.74000,3327574.38000,3540042.42000,4203726.99000,4675085.92000,4988092.16000,5203147.09000,5245072.21000,5381555.91000,5508896.71000,5277411.59000,4964853.09000,4893227.92000,4894706.22000,4949882.55000,5175105.18000,6296484.62000,6621355.28000,6181313.02000,5522450.00000,4723057.59000,3963265.87000,2000-01-20
Sistema,Sistema,3475769.58000,3339247.07000,3260048.06000,3300352.50000,3512445.34000,4102460.45000,4717805.35000,4934070.12000,5164806.33000,5299746.15000,5465890.91000,5515593.41000,5283633.11000,5040758.89000,4916994.27000,4958068.36000,4938953.75000,5054372.99000,6206746.81000,6639252.26000,6117924.99000,5526625.45000,4578346.78000,3877605.02000,2000-01-21
Sistema,Sistema,3566953.17000,3383463.24000,3307257.17000,3289726.65000,3475208.79000,3782163.18000,4079701.23000,4482242.01000,4832690.39000,4976731.34000,5069244.36000,5181498.99000,5058325.08000,4721210.19000,4411150.66000,4318806.22000,4306730.00000,4442593.01000,5751165.80000,6371060.33000,6009781.89000,5440341.51000,4673151.63000,4023170.03000,2000-01-22
Sistema,Sistema,3489875.79000,3291451.23000,3188706.30000,3153275.14000,3175047.72000,3299550.39000,3356149.38000,3629207.44000,3971912.71000,4163352.82000,4216215.86000,4259597.53000,4249670.77000,4019929.73000,3793360.46000,3644782.93000,3619698.93000,3839473.00000,5270647.16000,5834113.05000,5317259.80000,4978913.49000,4153927.97000,3529802.60000,2000-01-23
Sistema,Sistema,3208588.64000,3069036.48000,3024721.44000,3055502.54000,3331303.74000,4032351.09000,4591797.99000,4791461.46000,5062718.25000,5198072.75000,5402052.61000,5527846.27000,5302519.84000,5026011.18000,5011455.79000,4981793.34000,5049845.25000,5244757.66000,6362563.59000,6835969.93000,6346986.94000,5637005.74000,4628291.10000,3808737.60000,2000-01-24
Sistema,Sistema,3459002.09000,3307467.19000,3273002.05000,3296761.59000,3548851.32000,4170508.35000,4774211.68000,4891584.62000,5152826.43000,5311224.81000,5453973.84000,5531510.33000,5259038.49000,5060821.87000,4986919.36000,5056997.71000,5072837.56000,5317344.03000,6505336.85000,6798360.72000,6272963.72000,5601624.56000,4592798.15000,3785765.30000,2000-01-25
Sistema,Sistema,3451436.90000,3326702.20000,3298289.83000,3340469.06000,3587040.76000,4250877.53000,4892757.81000,5050779.39000,5284650.73000,5370259.10000,5510565.14000,5628423.39000,5368124.13000,5047921.38000,5080773.11000,5154916.90000,5195022.74000,5392222.12000,6427902.51000,6683332.16000,6218492.95000,5528693.96000,4545239.31000,3757298.32000,2000-01-26
Sistema,Sistema,3406640.84000,3319113.55000,3256060.48000,3296105.98000,3559779.01000,4186867.45000,4899715.12000,5021871.67000,5239332.20000,5325260.31000,5462119.63000,5564302.52000,5284279.20000,5000884.70000,4979440.85000,4978718.38000,5067905.77000,5154363.39000,6304085.21000,6702113.90000,6301249.02000,5607734.25000,4582975.39000,3857723.52000,2000-01-27
Sistema,Sistema,3444486.56000,3331702.48000,3276195.94000,3326546.48000,3580858.38000,4228105.80000,4862222.78000,5045976.41000,5263063.40000,5381714.50000,5485314.64000,5605067.71000,5305208.52000,5052475.47000,5019921.86000,4984176.08000,5010722.00000,5098681.74000,6321065.03000,6694316.25000,6199092.26000,5513657.23000,4677469.81000,3962864.49000,2000-01-28
Sistema,Sistema,3582116.29000,3452252.10000,3380097.14000,3364633.76000,3511210.98000,3754639.53000,4146454.96000,4596791.71000,4935513.65000,5066644.08000,5197932.61000,5254236.55000,5144862.50000,4809192.52000,4564109.41000,4459394.57000,4464157.84000,4684836.85000,5938872.51000,6330034.65000,5964176.40000,5366381.56000,4528159.59000,3860847.38000,2000-01-29
Sistema,Sistema,3401201.48000,3193144.32000,3096921.46000,3079840.75000,3114103.39000,3265311.50000,3420011.35000,3726085.80000,4160645.47000,4323947.82000,4352088.50000,4365625.67000,4357340.86000,4149773.32000,3950957.80000,3841072.19000,3842811.60000,4077343.96000,5302798.86000,5882450.36000,5587876.95000,5003676.20000,4152263.15000,3517254.95000,2000-01-30
Sistema,Sistema,3235871.16000,3105671.10000,3083070.21000,3108344.90000,3406848.33000,4096767.63000,4686734.14000,4861048.41000,5038772.45000,5156431.46000,5350724.43000,5498839.48000,5313424.97000,5002311.06000,4974995.64000,4980681.06000,5034108.37000,5127121.50000,6326509.08000,6774820.12000,6257150.63000,5531064.29000,4570799.77000,3737347.00000,2000-01-31
Sistema,Sistema,3453604.34000,3294951.20000,3243130.79000,3283298.62000,3557223.76000,4292765.50000,4924323.38000,4973589.64000,5180746.51000,5248314.76000,5425733.37000,5542398.51000,5218202.29000,4949035.22000,4910298.93000,4917433.10000,4974584.76000,5111137.82000,6186103.42000,6739083.60000,6218640.07000,5502833.64000,4460972.45000,3666604.70000,2000-02-01
Sistema,Sistema,3314985.51000,3188199.13000,3178524.88000,3224012.83000,3493017.86000,4289107.98000,4900994.24000,4954345.97000,5090894.58000,5209690.99000,5379981.10000,5491154.93000,5189000.21000,4870027.78000,4796760.98000,4882681.19000,4961905.40000,5155310.33000,6315366.98000,6727800.72000,6240119.57000,5551511.71000,4522676.88000,3701017.87000,2000-02-02
Sistema,Sistema,3356312.30000,3236039.73000,3211482.37000,3250182.97000,3498816.97000,4245714.32000,4814068.22000,4970122.92000,5127829.59000,5151198.91000,5378140.31000,5483454.77000,5197431.03000,4947275.85000,4863584.61000,4880560.68000,4934345.77000,5024174.45000,6192514.19000,6717001.39000,6265115.34000,5606231.43000,4502323.90000,3702853.16000,2000-02-03
