Code,Name,Type,Disp,RecType,CompanyCode,EnerSource,OperStartdate,State
4YBY,AGPE 623 ARA SANTA MARTA GAIRA TRONCAL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-06-26,OPERACION
4YC1,AGPE NAVITRANS MEDELLÍN 2,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-06-26,OPERACION
4YC3,AGPE 502 ARA LORICA CENTRO CALLE 4A,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-06-26,OPERACION
4YC5,AGPE LUIS GABRIEL DEGIOVANNI BEHAINE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,SCEC,RAD SOLAR,2025-06-26,OPERACION
4YC7,NAVITRANS BARRANQUILLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-06-26,OPERACION
4YC9,AGPE OSCAR PACHECO HERNANDEZ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-06-26,OPERACION
4YCB,AGPE PORCÍCOLA LA SIRIA 1,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-06-26,OPERACION
4YCD,AGPE PARROQUIA SANTA MARIA MADRE Y REINA DE L,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2025-06-26,OPERACION
4YCF,SHANGRI LA,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,ISGG,RAD SOLAR,2025-10-23,OPERACION
4YCH,AGPE MODA Y ESTILO FASHION,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2025-06-26,OPERACION
