Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date,daily_sum_kWh
Sistema,Sistema,5093601.23,4891693.84,4769777.24,4770307.87,4927048.71,5393858.63,5724676.31,6143947.77,6619601.42,6883997.29,7158782.56,7374973.16,7187514.61,7100894.74,7164202.39,7170205.54,7091034.5,7023532.59,8021523.15,8373124.11,7958437.97,7386906.17,6541893.29,5650696.34,2010-01-18,156422231.43
Sistema,Sistema,5224478.47,5045840.28,4955389.96,4911395.46,5117515.67,5597234.62,5897182.77,6243976.19,6766477.65,7135642.19,7401099.0,7576376.45,7378986.32,7283338.37,7375062.31,7341695.68,7221599.97,7123291.75,8056568.1,8470624.09,8124220.55,7479455.96,6608701.15,5705786.99,2010-01-19,160041939.95000005
Sistema,Sistema,5215990.51,5030230.19,4896791.07,4915250.34,5126928.91,5624643.96,5898538.1,6244607.13,6746495.39,7074838.47,7346308.67,7553147.04,7348614.46,7241908.72,7379527.72,7350447.21,7273874.18,7168235.42,8123570.9,8591541.75,8183394.89,7614455.02,6784673.76,5822147.93,2010-01-20,160556161.74
Sistema,Sistema,5372522.5,5137519.76,5042845.37,4999721.88,5206112.51,5699979.01,5991807.91,6344418.82,6849229.74,7150723.15,7457558.27,7653543.16,7379565.57,7308200.22,7385977.76,7366843.52,7231285.59,7119392.26,7995314.37,8490394.51,8108011.82,7566842.94,6704049.72,5740009.66,2010-01-21,161301870.02
Sistema,Sistema,5328388.64,5108041.21,4992990.24,4942394.02,5195666.88,5683897.05,5969173.57,6355301.73,6811245.36,7119283.62,7384745.59,7587083.06,7360589.9,7246866.74,7309047.72,7287909.98,7221867.58,7110734.6,8085555.04,8520360.53,8136619.25,7562263.0,6756067.97,5882169.8,2010-01-22,160958263.08
Sistema,Sistema,5457358.31,5264019.94,5133798.29,5080600.65,5179694.37,5415710.49,5519710.99,5911390.4,6466856.94,6795967.32,7058270.66,7197278.1,7075354.4,6887682.45,6682372.05,6566789.39,6473448.07,6593957.02,7602590.99,7994896.33,7722261.87,7156083.97,6450066.7,5745671.54,2010-01-23,153431831.23999998
Sistema,Sistema,5318261.64,5075324.51,4919654.22,4831150.5,4844548.13,4887647.5,4785935.69,4952347.3,5233730.81,5526605.14,5771499.85,5941599.63,6016998.67,5884887.14,5754471.69,5648615.57,5576090.33,5726317.65,6925358.19,7398837.84,7215647.56,6728248.53,5979940.2,5404429.87,2010-01-24,136348148.16000003
Sistema,Sistema,5011252.39,4813324.08,4703466.02,4769800.98,5020805.96,5682369.74,5970866.37,6222608.42,6708947.57,7002324.92,7270132.37,7475203.42,7262893.78,7184352.53,7321403.7,7322300.69,7268950.62,7294194.79,8221231.36,8560308.67,8130648.02,7548894.79,6685034.87,5762929.42,2010-01-25,159214245.48
Sistema,Sistema,5250535.92,5055343.65,4939267.0,4939850.25,5177621.61,5812432.57,6202318.34,6450728.7,6892489.9,7105478.81,7341680.07,7389472.06,7081966.37,7034172.23,7141746.08,7141886.76,7118880.36,7140005.12,8092950.54,8390266.41,7988334.07,7350482.33,6480378.18,5594304.09,2010-01-26,159112591.42000005
Sistema,Sistema,5142206.94,4983705.23,4893960.98,4881812.88,5155004.04,5788164.61,6108697.18,6367324.82,6751542.24,7043159.84,7317330.56,7479052.68,7202859.63,7109825.09,7238001.36,7211156.34,7139198.42,7102782.35,8106383.57,8441446.53,8082501.58,7454502.6,6540234.27,5629831.16,2010-01-27,159170684.9
