Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,56.28479,56.28479,50.28479,32.28479,53.28479,32.28479,2000-01-19
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,46.28479,50.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,56.28479,50.28479,50.28479,52.20479,46.28479,2000-01-20
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,41.28479,41.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,61.28479,50.28479,50.28479,51.83979,32.28479,2000-01-21
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,49.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,35.28479,32.28479,53.78479,41.28479,2000-01-22
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,33.28479,32.28479,32.28479,32.28479,32.28479,2000-01-23
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,46.28479,46.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.38479,32.38479,32.38479,32.38479,32.38479,33.28479,50.28479,33.28479,32.28479,32.28479,32.28479,2000-01-24
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,41.28479,32.28479,32.28479,32.28479,46.28479,46.28479,46.28479,46.28479,32.38479,32.38479,32.28479,32.28479,32.28479,50.28479,50.28479,49.28479,32.28479,32.28479,32.28479,2000-01-25
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,49.96879,49.96879,50.28479,50.28479,50.28479,51.28479,51.28479,50.28479,49.28479,33.28479,49.28479,49.96879,32.28479,50.28479,50.28479,49.96879,49.96879,49.96879,32.28479,2000-01-26
Sistema,Sistema,33.28479,33.28479,33.28479,33.28479,33.28479,49.28479,46.28479,49.28479,46.28479,46.28479,49.28479,49.28479,46.28479,46.28479,46.28479,46.28479,46.28479,33.28479,46.28479,50.28479,46.28479,49.28479,49.28479,33.28479,2000-01-27
Sistema,Sistema,33.28479,33.28479,33.28479,33.28479,33.28479,51.28479,51.23479,51.28479,51.28479,51.28479,51.28479,51.28479,51.28479,51.28479,51.28479,51.28479,51.28479,33.28479,51.28479,51.28479,51.28479,51.23479,51.23479,33.28479,2000-01-28
Sistema,Sistema,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,51.28479,34.28479,34.28479,34.28479,33.28479,33.28479,33.28479,33.28479,33.28479,51.28479,51.28479,51.28479,33.28479,51.23479,33.28479,2000-01-29
Sistema,Sistema,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,35.28479,51.28479,51.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,51.28479,33.28479,33.28479,33.28479,33.28479,2000-01-30
Sistema,Sistema,33.28479,33.28479,33.28479,33.28479,33.28479,35.28479,51.28479,35.28579,51.27479,51.28479,51.28479,51.28479,51.28479,51.27479,51.27479,51.27479,51.27479,35.28479,51.28479,51.28479,51.28479,51.28479,35.28479,33.28479,2000-01-31
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,49.79988,33.79988,33.79988,33.79988,49.79988,49.79988,49.79988,49.78988,33.79988,33.79988,33.79988,34.79988,34.79988,51.79988,51.79988,51.79988,49.79988,33.79988,33.79988,2000-02-01
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,47.94588,49.45988,33.79988,33.79988,33.79988,34.79988,34.79988,33.79988,34.79988,34.79988,34.79988,34.79988,34.79988,51.79988,51.79988,51.79988,34.79988,33.79988,33.79988,2000-02-02
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.79988,34.79988,34.79988,33.79988,34.79988,34.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.79988,51.79988,34.79988,34.79988,33.79988,33.79988,2000-02-03
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.79988,34.79988,34.79988,35.80088,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.79988,51.79988,33.79988,49.14488,33.79988,33.79988,2000-02-04
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.89988,35.80088,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,49.79988,33.79988,33.79988,33.79988,33.79988,2000-02-05
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,35.80088,33.79988,33.79988,33.79988,33.79988,2000-02-06
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,49.79988,33.79988,33.79988,33.79988,33.79988,34.89988,49.69988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,49.69988,51.79988,49.69988,33.79988,33.79988,33.79988,2000-02-07
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,51.79988,33.79988,33.79988,33.79988,33.79988,49.78988,49.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,49.78988,51.79988,49.78988,50.69988,33.79988,33.79988,2000-02-08
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,49.78988,51.79988,49.78988,33.79988,33.79988,33.79988,2000-02-09
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,49.79988,33.79988,33.79988,33.79988,33.79988,33.79988,49.77988,33.79988,33.79988,33.79988,33.79988,33.79988,34.80088,49.79988,51.79988,49.79988,33.79988,33.79988,33.79988,2000-02-10
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,49.29988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.89988,49.29988,49.29988,49.29988,33.79988,33.79988,2000-02-11
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,51.79988,51.79988,51.79988,51.79988,51.79988,33.79988,33.79988,33.79988,33.79988,33.79988,54.79988,55.79988,54.79988,51.79988,48.79988,33.79988,2000-02-12
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.84988,33.79988,33.79988,33.79988,33.79988,33.79988,54.79988,55.79988,55.79988,51.79988,33.79988,49.79988,2000-02-13
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,52.79988,51.79988,34.84988,33.89988,34.84988,51.79988,51.79988,51.79988,34.84988,33.79988,33.79988,33.89988,34.84988,54.29988,55.79988,54.79988,51.79988,54.29988,51.79988,2000-02-14
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,51.79988,54.29988,51.79988,51.79988,51.79988,54.79988,54.79988,54.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,54.79988,56.79988,54.79988,51.79988,54.29988,51.79988,2000-02-15
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,49.79988,54.29988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,34.79988,54.79988,57.79988,54.79988,51.79988,54.29988,54.29988,2000-02-16
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,49.79988,54.79988,54.29988,54.29988,54.29988,54.29988,54.29988,54.79988,54.29988,54.29988,54.29988,54.29988,54.29988,33.79988,58.79988,59.79988,54.79988,33.79988,33.79988,49.79988,2000-02-17
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,49.79988,58.79988,58.79988,55.79988,55.79988,58.79988,58.79988,58.79988,55.79988,55.79988,54.49988,54.49988,34.84988,55.79988,58.79988,60.79988,58.79988,54.59988,55.79988,55.79988,2000-02-18
Sistema,Sistema,39.79988,34.14988,33.79988,33.79988,39.79988,55.79988,23.06088,23.79988,39.79988,55.79988,55.39988,55.79988,55.79988,23.79988,23.79988,23.79988,23.79988,23.79988,58.79988,60.79988,58.79988,23.79988,39.79988,55.79988,2000-02-19
Sistema,Sistema,53.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.14988,54.79988,54.79988,23.06088,54.79988,23.06088,23.06088,23.06088,23.06088,34.14988,53.79988,55.79988,54.79988,23.06088,33.79988,34.14988,2000-02-20
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,54.99988,57.79988,55.79988,55.29988,55.79988,55.79988,55.79988,56.79988,55.79988,55.79988,34.14988,55.79988,55.79988,56.79988,57.79988,60.79988,57.79988,55.79988,55.79988,55.79988,2000-02-21
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,53.79988,56.79988,33.79988,49.79988,49.79988,49.79988,49.79988,49.79988,56.79988,57.79988,56.79988,49.79988,49.79988,33.79988,2000-02-22
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,56.78988,49.79988,49.79988,49.79988,56.79988,56.79988,56.79988,49.79988,49.79988,49.79988,49.79988,49.79988,49.79988,56.79988,56.79988,56.79988,49.79988,33.79988,33.79988,2000-02-23
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,54.79488,49.79988,49.79988,49.79988,55.29988,55.29988,55.29988,49.79988,33.79988,33.79988,33.79988,33.79988,49.79988,55.79988,56.79988,55.79988,46.58288,33.79988,33.79988,2000-02-24
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,49.79988,44.79988,33.99988,44.79988,49.79988,52.79988,52.79988,44.79988,33.79988,23.99988,23.99988,33.79988,49.79988,53.74988,54.79988,52.79988,33.79988,33.79988,33.79988,2000-02-25
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.99988,44.79988,44.79988,44.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,44.79988,47.79988,34.79988,33.79988,33.79988,33.79988,2000-02-26
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,2000-02-27
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,53.79988,33.99988,33.79988,33.79988,33.79988,2000-02-28
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,54.79988,55.79988,33.79988,33.79988,33.79988,33.79988,2000-02-29
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,54.14417,57.14417,34.14417,34.14417,34.14417,34.14417,2000-03-01
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,53.86017,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,54.14417,57.14417,53.69617,34.14417,34.14417,34.14417,2000-03-02
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,35.14417,34.14417,34.14417,34.14417,34.14417,2000-03-03
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,55.14417,55.14417,56.34417,57.14417,57.14417,34.14417,34.14417,34.14417,34.14417,34.14417,57.14417,57.14417,57.14417,34.14417,34.14417,34.14417,2000-03-04
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,2000-03-05
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,57.14417,34.14417,34.14417,34.14417,34.14417,2000-03-06
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,60.14417,34.14417,34.14417,34.14417,34.14417,2000-03-07
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,60.14417,34.14417,60.14417,34.14417,34.14417,2000-03-08
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,57.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,60.64417,34.14417,34.14417,34.14417,34.14417,2000-03-09
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,61.14417,34.14417,34.14417,34.14417,34.14417,2000-03-10
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,2000-03-11
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,2000-03-12
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,55.14417,61.14417,34.14417,34.14417,34.14417,34.14417,2000-03-13
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,61.14417,61.14417,55.14417,34.14417,34.14417,34.14417,2000-03-14
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,63.14417,63.14417,56.03417,34.14417,34.14417,34.14417,2000-03-15
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,56.04417,59.14417,59.14417,56.03417,34.14417,34.14417,34.14417,34.14417,34.14417,63.14417,63.14417,59.14417,56.03417,34.14417,34.14417,2000-03-16
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,57.14417,63.64417,57.14417,55.14417,34.14417,34.14417,2000-03-17
Sistema,Sistema,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,34.14417,62.14417,63.64417,62.14417,34.14417,34.14417,34.14417,2000-03-18
