year,month,embalse_avg,embalse_min
2003,1,0.6921629032258064,0.62896
2003,2,0.57143,0.51483
2003,3,0.4561264516129032,0.42748
2003,4,0.4244056666666667,0.3964
2003,5,0.5021735483870968,0.44997
2003,6,0.6052723333333333,0.56666
2003,7,0.675431935483871,0.65666
2003,8,0.7301545161290323,0.71616
2003,9,0.7440693333333334,0.73598
2003,10,0.7696509677419354,0.74955
2003,11,0.8141633333333333,0.80435
2003,12,0.8228229032258064,0.79442
2004,1,0.7562687096774193,0.70302
2004,2,0.6310575862068966,0.58455
2004,3,0.5441977419354839,0.50367
2004,4,0.492869,0.48051
2004,5,0.5735603225806452,0.50946
2004,6,0.7274593333333333,0.64086
2004,7,0.785738064516129,0.75698
2004,8,0.8117687096774193,0.80729
2004,9,0.828023,0.81392
2004,10,0.8371429032258064,0.82608
2004,11,0.864597,0.85214
2004,12,0.8433048387096774,0.81306
2005,1,0.7701761290322581,0.72514
2005,2,0.6805439285714286,0.62674
2005,3,0.5626251612903226,0.50577
2005,4,0.489924,0.48182
2005,5,0.5263064516129032,0.48344
2005,6,0.6256813333333333,0.57665
2005,7,0.6246967741935484,0.61517
2005,8,0.6392167741935484,0.62891
2005,9,0.6780513333333332,0.65424
2005,10,0.7117948387096774,0.69574
2005,11,0.8054403333333333,0.75978
2005,12,0.8093864516129031,0.78229
2006,1,0.7385022580645162,0.6896
2006,2,0.6346703571428571,0.56977
2006,3,0.5437219354838709,0.53536
2006,4,0.5639673333333334,0.53196
2006,5,0.6939635483870967,0.61858
2006,6,0.7861600000000001,0.74104
2006,7,0.8199238709677419,0.80818
2006,8,0.8121606451612904,0.80256
2006,9,0.7883206666666667,0.7771
2006,10,0.7967503225806452,0.77223
2006,11,0.8576946666666667,0.82947
2006,12,0.8627067741935484,0.83899
2007,1,0.7895151612903225,0.74129
2007,2,0.6695742857142858,0.60553
2007,3,0.5461474193548387,0.50981
2007,4,0.5173973333333334,0.50536
2007,5,0.5538193548387096,0.52205
2007,6,0.640711,0.60067
2007,7,0.7015454838709678,0.69204
2007,8,0.7022009677419354,0.68176
2007,9,0.736744,0.7331
2007,10,0.7675941935483871,0.73369
2007,11,0.8241306666666667,0.81022
2007,12,0.7871948387096774,0.77483
2008,1,0.7484583870967743,0.7089
2008,2,0.6590941379310344,0.6272
2008,3,0.5957583870967741,0.5651
2008,4,0.5382976666666667,0.51843
2008,5,0.5495851612903226,0.52571
2008,6,0.6679263333333334,0.61198
2008,7,0.7980116129032259,0.73499
2008,8,0.8328632258064517,0.82327
2008,9,0.8320166666666666,0.82122
2008,10,0.8189564516129032,0.80457
2008,11,0.8365486666666667,0.80598
2008,12,0.8446187096774194,0.81514
2009,1,0.7912903225806452,0.75597
2009,2,0.7140321428571428,0.67134
2009,3,0.628168064516129,0.60847
2009,4,0.6005003333333333,0.58319
2009,5,0.5893693548387097,0.57399
2009,6,0.5975146666666667,0.56433
2009,7,0.6715835483870968,0.6231
2009,8,0.7147974193548386,0.68918
2009,9,0.7028836666666667,0.67007
2009,10,0.6624890322580645,0.64642
2009,11,0.695928,0.68159
2009,12,0.6600338709677419,0.64787
2010,1,0.6166167741935484,0.5784
2010,2,0.5275721428571428,0.48653
2010,3,0.4444329032258064,0.4033
2010,4,0.418223,0.40358
2010,5,0.44791032258064517,0.42751
2010,6,0.5158736666666667,0.48851
2010,7,0.5883948387096775,0.54397
2010,8,0.637818064516129,0.62859
2010,9,0.6588643333333334,0.63858
2010,10,0.6873158064516128,0.67025
2010,11,0.7606816666666667,0.70473
2010,12,0.7941067741935484,0.77813
2011,1,0.7298564516129032,0.66804
2011,2,0.6196425000000001,0.58087
2011,3,0.5800641935483871,0.5617
2011,4,0.6585756666666666,0.57481
2011,5,0.8077119354838709,0.77631
2011,6,0.838661,0.82613
2011,7,0.8445454838709677,0.83563
2011,8,0.8317709677419355,0.81877
2011,9,0.812591,0.80445
2011,10,0.8214606451612904,0.79926
2011,11,0.8618586666666667,0.83308
2011,12,0.907274193548387,0.88825
2012,1,0.8677138709677419,0.83997
2012,2,0.7852258620689656,0.71792
2012,3,0.6743712903225806,0.64967
2012,4,0.706225,0.64875
2012,5,0.8262751612903225,0.78894
2012,6,0.8394063333333333,0.82983
2012,7,0.8572664516129033,0.84619
2012,8,0.8630774193548387,0.85072
2012,9,0.8386536666666667,0.80678
2012,10,0.8060029032258065,0.78997
2012,11,0.8100823333333333,0.79881
2012,12,0.7661006451612904,0.73379
2013,1,0.6692754838709678,0.60181
2013,2,0.5632453571428572,0.52197
2013,3,0.4823790322580645,0.44534
2013,4,0.39673400000000003,0.38081
2013,5,0.4315361290322581,0.38539
2013,6,0.5069323333333333,0.49817
2013,7,0.5374277419354839,0.51716
2013,8,0.5997448387096774,0.55961
2013,9,0.636526,0.62283
2013,10,0.6386106451612903,0.62715
2013,11,0.667504,0.62855
2013,12,0.7060622580645162,0.6946
2014,1,0.6617083870967742,0.6096
2014,2,0.5619025000000001,0.52771
2014,3,0.5181616129032257,0.47621
2014,4,0.44208733333333333,0.42349
2014,5,0.47662225806451614,0.4501
2014,6,0.5744163333333333,0.49949
2014,7,0.7088819354838709,0.6647
2014,8,0.7493422580645162,0.72594
2014,9,0.7469573333333333,0.73846
2014,10,0.7548825806451613,0.72451
2014,11,0.7939793333333333,0.77809
2014,12,0.778888064516129,0.75394
2015,1,0.7006016129032259,0.65188
2015,2,0.6151803571428571,0.55871
2015,3,0.4954135483870968,0.45113
2015,4,0.4565103333333333,0.44578
2015,5,0.4282222580645161,0.40499
2015,6,0.5223873333333333,0.46539
2015,7,0.6313432258064515,0.60288
2015,8,0.6864209677419355,0.67176
2015,9,0.678658,0.64852
2015,10,0.6348377419354839,0.62498
2015,11,0.651876,0.62203
2015,12,0.6463312903225807,0.61167
2016,1,0.5739935483870968,0.52332
2016,2,0.4729555172413793,0.43582
2016,3,0.4070664516129032,0.38977
2016,4,0.4010123333333333,0.38878
2016,5,0.4196648387096774,0.40901
2016,6,0.4533203333333333,0.44279
2016,7,0.5353929032258065,0.48053
2016,8,0.5605790322580645,0.55129
2016,9,0.5983786666666667,0.57147
