year,demanda_GWh
2010,56897.33344054
2011,58628.59028907
2012,59995.37101665
2013,62225.12778622
2014,64374.7134267
2015,66593.66697201
2016,66320.45408111
2017,66861.33321168
2018,69181.41397017999
2019,71879.41957138
2020,70625.14547056002
2021,74412.78003293
2022,77067.60030266001
2023,81214.32521180001
2024,83308.04775256
2025,55777.27622782
