Values_code,max_hourly_kW,total_gen_kWh,days_active,capacidad_MW,gen_anual_GWh,factor_planta,Code,Name,Type,Disp,RecType,CompanyCode,EnerSource,OperStartdate,State
3QQ3,1037.72,244126.08000000002,53,1.03772,0.24412608000000002,0.026855292345336644,3QQ3,GD FINCA ISABEL LOPEZ,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,GNYG,RAD SOLAR,2024-11-10,OPERACION
3R9G,1055.47,220259.54,40,1.0554700000000001,0.22025954,0.023822356964217674,3R9G,GD EL ROBLE,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,PRIG,RAD SOLAR,2024-11-25,OPERACION
3RGX,8753.34,520516.74,14,8.75334,0.52051674,0.00678823388307574,3RGX,JUMI,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GNCG,RAD SOLAR,2025-01-17,PRUEBAS
3RGZ,999.0,132145.3,25,0.999,0.1321453,0.015100180088764563,3RGZ,MINIGRANJA LA PAZ LEYENDA,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,UNGG,RAD SOLAR,2024-12-02,OPERACION
3RH2,1886.8,255644.24,34,1.8868,0.25564423999999997,0.015466998314655143,3RH2,AUTOG HIDROSOLAR I,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,ERRG,RAD SOLAR,2026-05-29,OPERACION
3RKN,3948.0,99513.28,29,3.948,0.09951328,0.0028773970289563407,,,,,,,,,
3RKP,3883.0,1559686.41,17,3.883,1.5596864099999999,0.0458527926437333,,,,,,,,,
ABJ1,3036.0,11910049.8,316,3.036,11.910049800000001,0.4478243498113957,ABJ1,LA CASCADA ( ABEJORRAL),HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,GPEG,AGUA,2007-09-17,OPERACION
AFR1,7318.8,50048951.34,366,7.3188,50.04895134,0.780640352187386,AFR1,AGUA FRESCA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ADCG,AGUA,2008-04-10,OPERACION
ALBG,420214.08,1511522712.11,366,420.21408,1511.52271211,0.4106198792936153,ALBG,ALBAN,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,2000-12-15,OPERACION
ALTG,19425.6,39821744.46,262,19.4256,39.82174446,0.23401394241238505,ALTG,ALTO TULUA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,2012-05-28,OPERACION
AMA1,16871.71,40346750.75,323,16.87171,40.34675075,0.2729891317840262,AMA1,AMAIME,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,2011-01-06,OPERACION
AMF1,780.71,5022527.7,364,0.78071,5.0225277,0.7343929384264376,AMF1,AMALFI,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,HZEG,AGUA,2007-08-05,OPERACION
AMR1,229.68,52885.08,118,0.22968,0.05288508,0.026284872818883212,AMR1,AMERICA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPMG,AGUA,1997-01-01,OPERACION
ARG1,15580.0,2723970.0,174,15.58,2.72397,0.019958631543777586,ARG1,TERMOFENIX I 1,TERMICA,NO DESPACHADO CENTRALMENTE,NORMAL,DEPG,GAS,2016-03-15,OPERACION
ASN1,441.05,3152134.98,351,0.44105,3.15213498,0.8158548016641483,ASN1,ASNAZU,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,CDIG,AGUA,1934-01-01,OPERACION
AYR1,14982.0,109946307.0,363,14.982,109.946307,0.8377351680464045,AYR1,AUTOG AYURA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPMG,AGUA,1983-10-26,OPERACION
BAR1,19792.33,109980608.48,365,19.792330000000003,109.98060848,0.6343297621722737,BAR1,BARROSO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,AGUA,2012-11-30,OPERACION
BLL3,297.0,255941.4,96,0.297,0.2559414,0.09837392186707256,BLL3,BELLO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1997-01-01,OPERACION
BLM1,3434.8,19200869.69,362,3.4348,19.20086969,0.6381390769762936,BLM1,BELMONTE,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EEPG,AGUA,1939-01-01,OPERACION
BSQ1,1867.8,12551954.91,355,1.8678,12.551954910000001,0.7671440010003712,BSQ1,EL BOSQUE,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ERCG,AGUA,1935-01-01,OPERACION
BYN1,814.59,2354549.95,161,0.81459,2.35454995,0.32996260802069743,BYN1,BAYONA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,CALG,AGUA,1943-01-01,OPERACION
CAS1,5844.6,11520626.59,291,5.844600000000001,11.52062659,0.22501796901233576,CAS1,CENTRAL CASTILLA 1,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,RPEG,BAGAZO,2004-08-15,OPERACION
CCN1,4777.0,13573849.0,366,4.777,13.573849,0.3243722297576954,CCN1,COCONUCO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EMEG,AGUA,2000-09-27,OPERACION
CGM1,25160.0,129601728.0,347,25.16,129.601728,0.5880253500882027,CGM1,MAYAGUEZ 1,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,EPSG,BAGAZO,2010-08-17,OPERACION
CHBG,512236.48,1695848238.76,366,512.23648,1695.84823876,0.3779308759766725,CHBG,BETANIA,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,ENDG,AGUA,1987-11-01,OPERACION
CHVR,1011743.37,2955827152.18,316,1011.74337,2955.8271521799998,0.3335066983321352,CHVR,CHIVOR,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,CHVG,AGUA,1977-05-23,OPERACION
CIP1,18400.0,106467784.0,345,18.4,106.467784,0.6605356859241612,CIP1,INGENIO PROVIDENCIA 2,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,NTCG,BAGAZO,2009-05-18,OPERACION
CIS1,2824.8,9132238.5,347,2.8248,9.1322385,0.3690501909699995,CIS1,INGENIO SAN CARLOS 1,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,EPSG,BAGAZO,2011-07-23,OPERACION
CLDR,19433.41,84864259.23,366,19.43341,84.86425923,0.4985075097650111,CLDR,CALDERAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,AGUA,2006-06-30,OPERACION
CLL1,77266.55,389802033.2,366,77.26655000000001,389.8020332,0.5759018488004678,CLL1,CARLOS LLERAS,HIDRAULICA,DESPACHADO CENTRALMENTE,FILO AGUA ESPECIAL,HDPG,AGUA,2015-11-22,OPERACION
CLMG,139191.74,178392013.35999998,166,139.19173999999998,178.39201336,0.14630455145368534,CLMG,CALIMA,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,1967-01-01,OPERACION
CMN1,8884.33,56354792.92,364,8.88433,56.35479292,0.7241058739165233,CMN1,AUTOG CEMENTOS DEL NARE,HIDRAULICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,SOCG,AGUA,2004-09-01,OPERACION
COE1,1215.84,5830004.02,360,1.2158399999999998,5.83000402,0.5473792382709574,COE1,COELLO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ENGG,AGUA,2016-12-10,OPERACION
CPT1,785.15,3462571.91,227,0.78515,3.4625719100000003,0.5034334407205441,CPT1,CAMPESTRE (CALARCA),HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,CALG,AGUA,1956-01-01,OPERACION
CQT1,30208.42,49018362.92,182,30.208419999999997,49.01836292,0.18523655092455565,CQT1,CHARQUITO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ENDG,AGUA,2003-08-22,OPERACION
CRC1,3770.24,30516684.48,364,3.77024,30.516684480000002,0.923983560946231,CRC1,CARACOLI,HIDRAULICA,NO DESPACHADO CENTRALMENTE,FILO DE AGUA,EPMG,AGUA,1935-01-01,OPERACION
CSC1,2377.46,14728573.55,364,2.37746,14.72857355,0.7072018088872484,CSC1,CASCADA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1954-01-01,OPERACION
CTG1,34964.37,11260802.44,22,34.96437,11.260802439999999,0.03676541949972521,CTG1,CARTAGENA 1,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,NTCG,COMBUSTOLEO,1995-07-20,OPERACION
CTG2,49866.9,26236532.57,40,49.8669,26.23653257,0.06006064071782831,CTG2,CARTAGENA 2,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,NTCG,COMBUSTOLEO,1980-01-01,OPERACION
CUC1,56686.88,182121817.51,358,56.686879999999995,182.12181751,0.36675438507481883,CUC1,CUCUANA,HIDRAULICA,DESPACHADO CENTRALMENTE,FILO DE AGUA,EPSG,AGUA,2015-07-29,OPERACION
CUR1,944.24,3867288.2,337,0.94424,3.8672882000000004,0.46754136205600544,CUR1,CURRUCUCUES,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,NRCG,AGUA,2010-08-18,OPERACION
DVS1,116942.81,294856983.16,315,116.94281,294.85698316,0.2878284946588022,DVS1,DARIO VALENCIA SAMPER,HIDRAULICA,DESPACHADO CENTRALMENTE,FILO DE AGUA,ENDG,AGUA,2013-11-10,OPERACION
EPFV,69976.38,173341384.21,366,69.97638,173.34138421,0.2827786925776511,EPFV,EL PASO,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,ENDG,RAD SOLAR,2024-03-23,OPERACION
ESMR,30816.29,177391981.84,361,30.816290000000002,177.39198184,0.6571273257566994,ESMR,ESMERALDA,HIDRAULICA,DESPACHADO CENTRALMENTE,FILO DE AGUA,EPMG,AGUA,1963-01-01,OPERACION
FLRD,19994.0,72556189.48,360,19.994,72.55618948,0.41425777893185306,FLRD,FLORIDA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,CDIG,AGUA,1975-01-01,OPERACION
GCA1,10017.96,36194335.97,252,10.017959999999999,36.19433597,0.41243661509499724,GCA1,CARUQUIA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,AGUA,2010-01-28,OPERACION
GCC1,969.5,6187186.65,319,0.9695,6.18718665,0.728519696637866,GCC1,GUACAICA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPMG,AGUA,1992-01-01,OPERACION
GE32,291746.94,1481268283.99,275,291.74694,1481.26828399,0.5795932357230379,GE32,GECELCA 32,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,GECG,CARBON,2018-09-28,OPERACION
GEC3,165983.76,935141930.03,280,165.98376000000002,935.14193003,0.6431434127987629,GEC3,GECELCA 3,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,GECG,CARBON,2015-09-17,OPERACION
GQA1,10014.69,44419018.78,268,10.01469,44.41901878,0.5063226364762401,GQA1,GUANAQUITAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,AGUA,2010-06-30,OPERACION
GTPE,570648.0,2412529536.01,297,570.648,2412.5295360100004,0.4826143525774816,GTPE,GUATAPE,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1972-01-01,OPERACION
GTRG,518820.0,2667074952.04,341,518.82,2667.07495204,0.586832834053179,GTRG,GUATRON,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1966-01-01,OPERACION
GVIO,1241929.3,4599603910.39,334,1241.9293,4599.60391039,0.42278488762785243,GVIO,GUAVIO,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,ENDG,AGUA,1993-03-19,OPERACION
GYPO,344136.63,440100377.92,346,344.13663,440.10037792,0.14598785711637197,GYPO,GUAYEPO,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,ENDG,RAD SOLAR,2024-11-30,OPERACION
HMIN,61047.96,199998668.7,366,61.047959999999996,199.9986687,0.37398298409028996,HMIN,ESCUELA DE MINAS,HIDRAULICA,DESPACHADO CENTRALMENTE,FILO DE AGUA,HDPG,AGUA,2019-09-30,OPERACION
HMLG,398548.65,1308418404.13,366,398.54865,1308.4184041300002,0.3747668735590737,HMLG,MIEL I,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,ISGG,AGUA,2002-12-01,OPERACION
HMO1,23732.02,112595254.24,361,23.732020000000002,112.59525423999999,0.5416032653399986,HMO1,HIDROMONTAÑITAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,2012-06-14,OPERACION
HRD1,19437.0,89417264.2,328,19.437,89.4172642,0.5251556439338144,HRD1,LA HERRADURA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,FILO DE AGUA,EPMG,AGUA,2004-09-03,OPERACION
INC1,40648.63,165841510.6,347,40.64863,165.8415106,0.46573966434385217,INC1,INCAUCA 1,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,NTCG,BAGAZO,1998-10-21,OPERACION
INS1,18913.22,97424737.17,366,18.913220000000003,97.42473717,0.5880302422877276,INS1,INSULA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1995-07-20,OPERACION
INZ1,533.06,202106.57,35,0.53306,0.20210657,0.043281293392315616,INZ1,INZA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,CDIG,AGUA,2009-02-05,OPERACION
IQU1,2066.09,4366416.71,129,2.06609,4.36641671,0.24125250890267194,IQU1,IQUIRA I,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,HLAG,AGUA,1955-01-01,OPERACION
IQU2,1312.29,1632484.8,80,1.31229,1.6324848,0.1420087879422743,IQU2,IQUIRA II,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,HLAG,AGUA,1965-01-01,OPERACION
IRG1,20518.98,122831263.12,330,20.51898,122.83126312,0.6833591966802306,IRG1,INGENIO RISARALDA 1,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,ERRG,BAGAZO,2003-08-15,OPERACION
JAGS,174936.0,502457051.36,251,174.936,502.45705136000004,0.3278805442324321,JAGS,JAGUAS,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,ISGG,AGUA,1988-07-01,OPERACION
LBR1,3428.33,10407042.5,310,3.42833,10.4070425,0.34652981195751587,LBR1,NUEVO LIBARE,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EEPG,AGUA,1994-01-01,OPERACION
LCS1,2311.65,7131674.45,211,2.31165,7.13167445,0.35218051517294724,LCS1,LA CASCADA (ANTIOQUIA),HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,GNCG,AGUA,2007-07-17,OPERACION
LMR1,18841.51,47894808.77,163,18.84151,47.894808770000004,0.29018077232217493,LMR1,EL LIMONAR,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ENDG,AGUA,2003-12-06,OPERACION
LPLO,1106.33,6396811.56,344,1.10633,6.39681156,0.660046848713301,LPLO,RIO PALO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,CDIG,AGUA,1960-01-01,OPERACION
LTSJ,307230.0,1171474951.71,285,307.23,1171.4749517100001,0.43527655931547427,LTSJ,LA TASAJERA,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1994-05-20,OPERACION
MATA,82995.72,149567979.16,366,82.99572,149.56797916,0.20572109289182974,MATA,LA MATA,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,SLMG,RAD SOLAR,2024-06-27,OPERACION
MIR1,3004.03,16418626.16,366,3.00403,16.41862616,0.6239193325945692,MIR1,MIROLINDO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,HDTG,AGUA,2004-11-03,OPERACION
MNC1,1379.99,7146782.02,349,1.37999,7.14678202,0.5911946436909195,MNC1,MUNICIPAL,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1935-01-01,OPERACION
MND1,489.98,3424407.28,364,0.48998,3.4244072799999996,0.7978163865042669,MND1,MONDOMO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,CDIG,AGUA,1958-01-01,OPERACION
MOY1,80784.75,389774820.26,359,80.78475,389.77482026,0.5507826971728426,MOY1,AMOYA LA ESPERANZA,HIDRAULICA,DESPACHADO CENTRALMENTE,FILO DE AGUA,ISGG,AGUA,2013-05-24,OPERACION
MRL1,165936.38,265551946.51,136,165.93638,265.55194651,0.18268537101374133,MRL1,MERILECTRICA 1,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,EPSG,GAS,1998-02-05,OPERACION
NAV1,4430.08,23884367.66,343,4.43008,23.88436766,0.6154575060911935,NAV1,LA NAVETA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,IACG,AGUA,2014-11-27,OPERACION
NIM1,7428.6,19621577.1,363,7.4286,19.621577100000003,0.3015246562802999,NIM1,NIMA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,SOCG,AGUA,1942-01-01,OPERACION
NQU1,18081.8,96121460.6,276,18.081799999999998,96.12146059999999,0.6068405509897159,NQU1,NIQUIA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1993-06-28,OPERACION
NTB1,92.05,25771.01,41,0.09204999999999999,0.025771009999999997,0.03195976228920653,NTB1,NUTIBARA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPMG,AGUA,1997-01-01,OPERACION
OVJ1,1054.63,5299677.36,274,1.0546300000000002,5.2996773600000004,0.5736476299744935,OVJ1,OVEJAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,CDIG,AGUA,1939-01-01,OPERACION
PES1,1195010.74,6997691718.17,366,1195.01074,6997.69171817,0.668465335716446,PES1,ITUANGO,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,2022-12-01,OPERACION
PGUG,606065.51,3413840087.84,366,606.06551,3413.8400878400003,0.643012621827754,PGUG,PAGUA,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,ENDG,AGUA,1986-12-01,OPERACION
PIC1,1512.0,4440487.0,336,1.512,4.440487,0.33525456923002583,PIC1,INGENIO PICHICHI 1,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,EEPG,BAGAZO,2010-01-26,OPERACION
PJR1,12436.6,54270132.4,366,12.4366,54.2701324,0.4981442350487517,PJR1,PAJARITO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1999-11-25,OPERACION
PLM1,10240.38,51022423.5,339,10.24038,51.0224235,0.5687755306437018,PLM1,PALMAS SAN GIL,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1954-01-01,OPERACION
PLU1,834.57,2668742.03,274,0.83457,2.6687420299999998,0.36503938155776827,PLU1,URRAO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,SFEG,AGUA,2007-07-30,OPERACION
PLYS,207600.0,1230000590.0,348,207.6,1230.00059,0.6763536910197869,PLYS,PLAYAS,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1988-08-01,OPERACION
PMR1,720.79,4354193.04,362,0.7207899999999999,4.35419304,0.689596137571276,PMR1,REMEDIOS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,CIEG,AGUA,2007-09-19,OPERACION
PNC1,23256.0,115793352.0,356,23.256,115.793352,0.5683874775577138,PNC1,COGENERADOR PROENCA,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,PECG,BAGAZO,2014-04-29,OPERACION
PPA1,29949.55,133873837.58,239,29.94955,133.87383758,0.5102714915659271,PPA1,PAIPA 1,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,HIMG,CARBON,1963-01-01,OPERACION
PPA2,68024.0,368431476.69,272,68.024,368.43147669,0.6182874830942021,PPA2,PAIPA 2,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,HIMG,CARBON,1975-01-01,OPERACION
PPA3,70277.96,258060220.07,189,70.27796000000001,258.06022007,0.4191773527822259,PPA3,PAIPA 3,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,HIMG,CARBON,1982-05-06,OPERACION
PPA4,166552.92,1140913169.55,311,166.55292,1140.91316955,0.7819810628398766,PPA4,PAIPA 4,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,SOCG,CARBON,1999-01-08,OPERACION
PPN1,5239.0,1638545.0,242,5.239,1.638545,0.03570309524369825,PPN1,PAPELES NACIONALES,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,NRCG,GAS,2009-02-05,OPERACION
PRC2,406548.0,1431863850.04,301,406.548,1431.86385004,0.40205529827185593,PRC2,PORCE II,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,2001-04-08,OPERACION
PRC3,711657.74,3224146051.36,331,711.65774,3224.14605136,0.51717726306194,PRC3,PORCE III,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,2011-02-09,OPERACION
PRD4,5973.94,29555310.13,242,5.97394,29.55531013,0.5647686201161413,PRD4,PRADO IV,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,1973-03-01,OPERACION
PRDO,52340.16,138713769.07,276,52.340160000000004,138.71376906999998,0.30253834044407135,PRDO,PRADO,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,1973-03-01,OPERACION
PRG1,45324.33,199833958.82,268,45.32433,199.83395882,0.5033079530509941,PRG1,PROELECTRICA 1,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,PRIG,GAS,1993-07-01,OPERACION
PRG2,45565.41,223547243.64,292,45.56541,223.54724363999998,0.5600540352808419,PRG2,PROELECTRICA 2,TERMICA,DESPACHADO CENTRALMENTE,NORMAL,PRIG,GAS,1993-07-01,OPERACION
PRV1,9794.78,34863216.76,341,9.794780000000001,34.86321676,0.4063204344395875,PRV1,PROVIDENCIA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,HZEG,AGUA,2015-09-30,OPERACION
PST1,682.18,4382979.19,365,0.6821799999999999,4.38297919,0.7334429185591024,PST1,PASTALES,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,HDTG,AGUA,2004-02-18,OPERACION
PTA1,1250.53,5876658.95,357,1.25053,5.87665895,0.536453726268464,PTA1,LA PITA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,HLAG,AGUA,1965-01-01,OPERACION
PTC1,1500.0,4042094.7,279,1.5,4.0420947,0.30761755707762556,PTC1,PATICO - LA CABRERA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,FERG,AGUA,1930-01-01,OPERACION
PTG1,4045.65,11184133.98,320,4.04565,11.18413398,0.31558034513308647,PTG1,PUENTE GUILLERMO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,NRCG,AGUA,2001-09-01,OPERACION
PTR1,52.9,264.49,6,0.052899999999999996,0.00026449,0.0005707546762652028,PTR1,FUTURA - PTAR 1,TERMICA,NO DESPACHADO CENTRALMENTE,NORMAL,EMIG,GAS,2005-11-01,PRUEBAS
QUI1,363030.74,1535947249.33,366,363.03074,1535.94724933,0.4829796065959674,QUI1,EL QUIMBO,HIDRAULICA,DESPACHADO CENTRALMENTE,NORMAL,ENDG,AGUA,2015-11-16,OPERACION
RBB1,4106.0,18770137.07,321,4.106,18.77013707,0.5218484440300085,RBB1,RIO BOBO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,CDNG,AGUA,1960-01-01,OPERACION
RCIO,891.86,4178264.58,366,0.89186,4.1782645800000004,0.5348046133538374,RCIO,RIO RECIO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,HDTG,AGUA,1958-11-01,OPERACION
RCL1,1764.54,6800276.16,362,1.76454,6.80027616,0.43993745275069557,RCL1,RIO CALI,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,SOCG,AGUA,1925-01-01,OPERACION
RFR1,1253.96,5738159.9,343,1.25396,5.7381599,0.5223779741577769,RFR1,RIO FRIO I,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,SOCG,AGUA,1954-01-01,OPERACION
RFR2,10207.2,28693474.8,354,10.2072,28.6934748,0.3209019928989153,RFR2,RIO FRIO II,HIDRAULICA,NO DESPACHADO CENTRALMENTE,FILO DE AGUA,CETG,AGUA,1996-01-01,OPERACION
RGR1,448.2,3097449.24,363,0.4482,3.0974492400000004,0.7889114143025681,RGR1,RIO GRANDE,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,EPMG,AGUA,2007-12-01,OPERACION
RGRN,19803.67,16930280.62,62,19.803669999999997,16.93028062,0.09759203400546766,RGRN,RIOGRANDE I,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPMG,AGUA,1956-01-01,OPERACION
RMR1,2269.75,8857365.71,337,2.26975,8.857365710000002,0.4454740861670341,RMR1,RUMOR,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,SOCG,AGUA,1999-01-01,OPERACION
RMYO,19881.07,99044581.58,366,19.88107,99.04458158,0.568704757061611,RMYO,RIO MAYO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,FILO DE AGUA,CDNG,AGUA,1995-07-20,OPERACION
RNG1,9061.2,23358419.1,199,9.061200000000001,23.358419100000003,0.2942751731150551,RNG1,RIONEGRO,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,SPRG,AGUA,1975-01-01,OPERACION
RPD1,20992.0,73949134.41,286,20.992,73.94913441,0.4021380530808866,RPD1,RIO PIEDRAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,AGUA,2000-03-31,OPERACION
RPL1,15705.6,55955631.06,318,15.7056,55.95563106,0.4067102890967779,RPL1,INGENIO RIOPAILA 1,COGENERADOR,NO DESPACHADO CENTRALMENTE,COGENERADOR,RPEG,BAGAZO,2018-05-21,OPERACION
SBA1,1975.18,4272938.08,183,1.9751800000000002,4.27293808,0.24695385718501764,SBA1,SUBA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,ENDG,AGUA,2013-04-15,OPERACION
SFC1,418.43,2859729.19,366,0.41843,2.85972919,0.7801857034182026,SFC1,SAN FRANCISCO (PUTUMAYO),HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,SGMG,AGUA,2012-12-15,OPERACION
SJN1,3566.28,14389595.57,258,3.5662800000000003,14.389595570000001,0.46060541968626173,SJN1,SAJANDI,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,CDIG,AGUA,1995-01-01,OPERACION
SJOG,383.2,1805001.83,364,0.3832,1.8050018300000001,0.537709909223935,SJOG,SAN JOSE,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,GCEG,AGUA,2003-11-16,OPERACION
SLV1,376.43,2356597.6,365,0.37643,2.3565976,0.7146560871013997,SLV1,SILVIA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,CDIG,AGUA,1994-01-01,OPERACION
