Values_code,max_hourly_kW,total_gen_kWh,days_active,capacidad_MW,gen_anual_GWh,factor_planta,Code,Name,Type,Disp,RecType,CompanyCode,EnerSource,OperStartdate,State
3HDE,20059.27,132616660.12,366,20.05927,132.61666012,0.7547078304221695,3HDE,SAN BARTOLOME,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,PSBG,AGUA,2023-05-14,OPERACION
3HDG,20030.48,132962352.99,359,20.03048,132.96235299,0.7577627095279397,3HDG,OIBITA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,PSBG,AGUA,2023-05-14,OPERACION
3HE8,2958.0,1830847.8,364,2.958,1.8308478000000001,0.0706561495642187,3HE8,AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPSG,RAD SOLAR,2023-04-30,PRUEBAS
3HF5,101722.82,228457286.98,366,101.72282000000001,228.45728698,0.25637904032074255,3HF5,FUNDACION,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,ENDG,RAD SOLAR,2024-06-24,OPERACION
3HF7,21323.75,46477991.88,363,21.32375,46.477991880000005,0.24881678108289762,3HF7,CELSIA SOLAR LA VICTORIA II,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,RAD SOLAR,2023-08-30,PRUEBAS
3HF9,20609.23,46545950.53,366,20.60923,46.54595053,0.2578196600442826,3HF9,CELSIA SOLAR LA VICTORIA I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,RAD SOLAR,2023-08-30,PRUEBAS
3HG7,8.74,14709.99,366,0.00874,0.01470999,0.19213073257891602,3HG7,COMUNIDAD EL SALVADOR I,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,ERRG,RAD SOLAR,2023-03-24,OPERACION
3HG9,2.8,4468.6,348,0.0028,0.0044686000000000005,0.18218362687540773,3HG9,COMUNIDAD EL SALVADOR II,SOLAR,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,ERRG,RAD SOLAR,2023-03-24,OPERACION
3HLD,9878.4,21374827.36,366,9.8784,21.37482736,0.2470085019221866,3HLD,LOS GIRASOLES,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,PSGG,RAD SOLAR,2023-08-05,PRUEBAS
3HS9,5872.95,4211819.7,279,5.8729499999999994,4.2118197,0.08186709160071828,3HS9,AUTOG BUGA I SOLLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPSG,RAD SOLAR,2023-06-16,PRUEBAS
3HWK,1270.94,861196.88,357,1.27094,0.86119688,0.07735231098141648,3HWK,AGPE EL ENCANTO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NMRG,RAD SOLAR,2023-06-08,OPERACION
3HWM,10959.04,22789340.330000002,364,10.959040000000002,22.78934033,0.23738601818420782,3HWM,PETALO DEL MAGDALENA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,RAD SOLAR,2023-08-05,PRUEBAS
3HYG,1037.6,1911096.72,364,1.0375999999999999,1.91109672,0.2102560967881624,3HYG,URUACO,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,UNGG,RAD SOLAR,2023-06-18,OPERACION
3IJF,909.6,97563.0,335,0.9096000000000001,0.097563,0.01224420488909772,,,,,,,,,
3INX,48559.99,94966399.4,366,48.55999,94.9663994,0.2232478460872002,3INX,CARACOLI I,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,SDCG,RAD SOLAR,2024-12-22,OPERACION
3IQA,35065.33,61566872.07,366,35.06533,61.56687207,0.20043107374579636,3IQA,SUNNORTE,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,GNSG,RAD SOLAR,2024-11-26,OPERACION
3IRX,101911.82,204167313.77,366,101.91182,204.16731377000002,0.22869546416019754,3IRX,PORTON DEL SOL,SOLAR,DESPACHADO CENTRALMENTE,AUTOGENERADOR,GECG,RAD SOLAR,2024-03-08,OPERACION
3IRZ,2196.92,11257733.07,366,2.19692,11.25773307,0.5849686587997792,3IRZ,LA CASCADA DE GRANADA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,SFEG,AGUA,2023-09-30,OPERACION
3IS2,1863.0,3817864.12,366,1.863,3.8178641200000003,0.23393947259416126,3IS2,PARQUE SOLAR ARENAL,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EGRG,RAD SOLAR,2023-12-30,PRUEBAS
3IZ6,104835.59,215442056.14,366,104.83559,215.44205613999998,0.2345943970469776,3IZ6,PARQUE SOLAR LA UNION,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,SLUG,RAD SOLAR,2024-06-19,OPERACION
3J1J,15623.25,21049636.03,365,15.62325,21.049636030000002,0.15380452130273292,3J1J,PARQUE SOLAR HONDA I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,AAGG,RAD SOLAR,2023-12-28,PRUEBAS
